yorum,toxic
sikerim hem ban atıyonuz durduk yere bari mod yükleyelim diyoz onu banlıyonuz sakın oyunu almayın 2 dakika boyunca olduğun yerde durursan sana ban atıyo paranızı boşa harcamayın,1
BUG DOLU YAPIMDA EMEGI GECEN HERKESIN AMK,1
Uçan motor ne kodumun aptalları uçan ev yapsaydınız bari. Aslında güzel fikir lan,1
ananı sikeyim oyuna para verdiğime pişmandım bide bedava oldu ananı sikeyim ananı,1
Ananızı sikiyim yeter her ay başı 5 gb güncelleme bi bok yaptığınız da yok,1
soktuğumun hatası yüzünden oyunu bırakıyorum bu oyunu yapan ve emegi gecen herkesin amına koyum,1
oyunun anasını siktiniz düzeltene kadar bu dislike kalacak,1
bu oyunu alanın aklını sikeyim amk oyununda mouse çalışmıyor,1
AMINA KODUMUN OYUNU Bİ MODLARI GÜZELDİ ONU KALDIRDI OÇLAR,1
Oyun mükemmel olmuş amk baya baya sarıyor,1
şu amk dürbünü gelsin artık,1
Orospu çocukları o kadar parayı gidip ftp yapın diye mi verdik ?,1
ee oyun bedava olmuş para verenler orospu çocugu galiba,1
hay aq paralıyken çok güzeldi şimdi beleş oldu aq paramı geri verin la yapıcanız işin aq,1
AMINA KODUMUN OYUNUNDA KUTU YAPIP SATACAĞINIZA HATALARI GIDERIN 31 LİRA VERDİRMESİNİ BİLİYONUZ AMINI SİKTİĞİMİN BEBELERİ PARAGÖZ OROSPU COCUKLARI,1
ŞU OYUNUN FİZİK KURALLARININ AMINA SOKACAM AMA YETER,1
bugları olmayan bir oyun yapamadınız. yapamadığınız oyunu sikeyim,1
ananı sikeyim lan ben buna 30 tl verdim,1
ALMAYIN GİDİN PUBG ALIN BOK GİBİ OYUN,1
ortalama 850 saat oynadım ama artık oyunun bokunu çıkardılar havadan sudan ban atıyorlar! Adam para yağdırıyor diye sınırsız ban? bu ne la git adamı banla beni niye banlıyorsun senin oyununda açık var hileye karşı savunma yapmamışsan bizim ne suçumuz var? almayın aldırtmayın.,1
Bu oyunu oynamak yerıne evde bi çöp poşeti bulup onunla oynayın. aynı zevki tadacaksınız.,1
BU OYUN BEDAVA OLDUYA SİZİN BEN TA ANANIZI SİKEYİM AMINA KODUMUN DAYZ'Sİ GİTTİ 3.85 DOLAR,1
sikerim hem ban atıyonuz durduk yere bari mod yükleyelim diyoz onu banlıyonuz sakın oyunu almayın 2 dakika boyunca olduğun yerde durursan sana ban atıyo paranızı boşa harcamayın,1
BEN NEDEN PARA VERDIM OROSPU ÇOCUKLARI,1
Dust 2 yi düzelteceğinize oyundaki hileci piçleri banlayın,1
şu oyuna hile getirenlerin taa amk,1
yapacağınız anti cheat sisteminin aq,1
Amk hack le dolu,1
yeni dust2nin anasını sikeyim,1
yeni map sik gibi olmuş,1
salak salak kostümler ekleyeceğinize optimizasyonu düzeltin artık !,1
dakka başı oyundan atmamı olur aq,1
sizin hilenizi sikiyim. Hani hile kullananda suç yok bunu denetleyemeyen valve in gelmişini geçmişini sikiyim.......,1
yeni dust2 yi yapanların elinin emeğinin amına koyim,1
orospu çocuğu anasını siktiğim hackler olmasa güzel oyun bu oyunu alıp ta hack açanın anasının amına kayım,1
çok hileci ibne var eskiden daha güzeldi,1
OYUN BOK GİBİ SAKIN ALMAYIN,1
bu kadar aptal bir oyun görmedim,1
tam bir çöp,1
şerefsizler modları kaldırmış,1
Emeği geçen ve bu oyunu hypelayan herkesin amına koyayım,1
bu sikik oyuna 5 tl bile fazla dakka başı oyundan atıyor,1
Geliştiriciler tam salak olmalı ki bu potansiyeldeki bir oyunu bu hale getirebilmişler,1
Yapıcanız oyunun ta aq,1
Svgili conan yapımcıları. Öncellikle böyle bir oyunu piyasaya südüğünüz için ta götünüzü sikeyim. Orspu çocukları daha bitmemiş oyunu sadece memesi var diye neden piyasaya sürdünüz. Ta ananızı sikem.,1
BÖYLE BOKTAN BÖYLE LEŞ BÖYLE ÇÖP BAK YİNE SİNİRLENDİM BU OYNU YAPAN HERKESİN AMINA KOYİM,1
Çimlere basma konan çimleri eziyorsun kusura bakma konan ibneye benziyorsun,1
bok gibi oyun,1
hayatımda bu kadar sikik bir oyun görmedim sakın almayın,1
hikaye çöp optimizasyon çöp oyun çöp,1
oyun da bi eğlenceğimiz modlar vardı onun da anasını siktiniz,1
paralı mod mu olur orospu çocuğu,1
creation club diye bişey çıkarttılar tüm oyun zevkimizin amına koydular,1
bok gibi,1
ulan daha oyun açılmıyor amk,1
şuna bir türkçe yama getirin mk,1
Modları parayla satmak ne amk,1
bu pezevenklere para vermeyin daha fazla lütfen arkadaşlar,1
oyuna giremedim amk siyah ekran verip oyundan atıyor amk oyunu,1
Son güncelleme ile içine sıçtılar lan beyin özürlüler o parayla sattığınız armor silah vs nexusta bedava,1
BU GERİZEKALI OYUNA PARA VERMEYIN BEN VERDIM PİŞMANIM,1
bu kadar boktan optimizasyonlu oyun görmedim,1
ANASINI SİKEYİM BÖYLE OYUNUNN OROSPU ÇOCUkları mükemmel derecede lootum var amk oyunu en son 20 de crash veriyor,1
Bok gibi hatta direk bok,1
optimizasyon istiyoruz adamlar emoji getiriyo amına koyum böyle oyunun,1
AMK OYUN KASA VERİYOR 1.50 TL İÇİNDEN BİRŞEYLER ÇIKACAK DİYE AÇIYORUM NE ZAMAN KASA AÇSAM 10 KURUŞLUK İTEM GELİYOR AMK,1
70 lira verip bu amını siktiğiminin kanser oyununu alana kadar gidin iskender yiyin aq,1
gereksiz skinler oyunu boka çevirmeye devam ediyor,1
siktiri boktan bir oyun,1
ulan bare güncellemeleri doğru yapın mk,1
optimizasyonunuzu sikeyim,1
yapıcağınız oyunu sikiyim,1
bi sike yaramaz oyun aq sikin getirip daha da siktiler oyunu en iyi sistemle bile drop yiyorsun onu geçtim aq avelleri sürekli silahın sekmesini değiştirip yapacağımız spreyi bozuyor tam elim alıştı diyosun bi bakmışsın bida bozuyorlar,1
bacısını siktmin oyunu 10 lira etmez,1
update dediğin oyunun anasını siker mi ya siker görmüş olduk eylül ayındaki oyuna döndü resmen fps yine düştü crashler başladı götlerine soksunlar,1
şerefsiz hileciler yüzünden oyunu oynayamıyoruz,1
çöp parçası,1
tek kelime: çöp,1
CRASH CRASH YETER AQ,1
Siktiğimin oyununda etkinlikler veya arabalar getirmek yerine bug'ları düzeltin,1
"Özet geç" derseniz: Gelmiş geçmiş en iyi RPG oyunlarından biri.,0
Şuan açık ara piyasanın en iyi oyunu,0
fiyat performans oranı en yüksek oyunu diyebilirim.,0
Tam bir başyapıt buradan larian studios'u tebrik ediyorum.,0
Yazmaya kalksak kitap yazılır. O yüzden sen de okuma.. YAŞA!,0
Gelmiş geçmiş en iyi RPG olabilir.,0
Oyun çok güzel,0
10 üzerinden 10 numara bir oyun,0
Kelimeler yetmez,0
Öncelikle Yapımcı ekibi tebrik ediyorum zaman geçtikçe daha iyi performans ve geliştirme ile böyle güzel bir oyunu bu kadar iyi bir şekilde yapıp herkesin gönlünü aldılar,0
oyun 10 puan üzerinden 10 olarak değerlendirile bilir'ki oyun diğer tüm strateji oyunlarının üstüne çıkıyor ve kısmi açık dünyayı tamamen sizin ellerinize bırakıyor,0
Dos 2 her noktasında cidden emek harcanmış bir yapım,0
100 üzerinde 94.Oynadığım kadaryla BU YILIN EN İYİ OYUNU diyebilirim.,0
Huzurlarınızda gelmiş geçmiş ve belkide gelecek en iyi “RPG” oyunu Divinity 2 : Original Sin,0
Oyun dediğin böyle olmalı işte,0
Bu oyun allahın mucizelerinden biridir.,0
Daha önce izometrik rpg oynamamış biri olarak bu oyunu oynadıktan sonra kendimden utandım diyebilirim.Önyargılarınızı kırın ve oyuna bir şans verin. yılın en iyi oyunu.,0
vay şöyle olmuş böyle olmuş anlatmam görüyorsunuz. muhteşem mükemmel. neden anlatayım ?,0
Oyunun oynanışı grafikleri eğlencesi bir harika,0
Rol yapma oyunları içinde oynadığım en güzel oyundanlar birtanesi,0
Abartısız son 7 - 8 yılda oynadığım en iyi RPG,0
Kesinlikle alman gerek,0
Gerçekten iyi,0
Beklenilen her şeyi sağlayan çok kaliteli bir oyun,0
Harika....... Oynayın oynattırın,0
bomba,0
Mükemmel bir oyun hele oynayacak arkadaşınız varsa kesinlikle tavsiye ediyorum,0
RPG seviyorsanız oynayın,0
İngilizcesi biraz ağır olmasına rağmen kesinlikle tavsiye ederim,0
Detaylı inceleme gelecek,0
Sanırım aşık oldum,0
Tek kelimeyle muazzam,0
Neden daha uzun değil nankörlüğünü yapmak zorundayım,0
Şuana kadar az oynama şansım oldu ama çok başarılı,0
Konuşmalardan sıkılmayan ve hikayeye hükmetmek isteyen kişiler için çok güzel bir oyun,0
Go for it hacı,0
Zor ama eğlenceli bir oyun,0
Nerdeyse 19 saattir oynuyorum başlangıç adası daha yeni bitti,0
çok güzel görevleri anlayamıyorsanız görev vereni öldürebiliyorsunuz,0
Oyunu yeni keşfettim gerçekten güzel,0
Detayları bir harika grafik desen bal kaymak,0
Zevk alarak oynadığım en iyi zombi oyunlarından biri,0
Şuana kadar 30.4 saat oynamışım ve yeni bitirdim ana senaryoyu,0
Oynadığım en iyi zombi oyunlarından birisiydi,0
Bütün zamanların gelmiş geçmiş en iyi zombi oyunlarından birisi,0
Oyun kesinlikle ama kesinlikle çok iyi bir oyun,0
Almanızı şiddetle tavsiye ediyorum,0
Görevler iyi hikaye muazzam,0
oyun hakkında söylenilecek çok şey var ve hepsi olumlu harika şeyler,0
MuaZZam olmuş oynayın oynattırın!,0
Hayatım boyunca ben böyle güzel bir zombi oyunu oynamadım,0
Mükemmel bir şey 10/10,0
Oyunu oynarken aldığım zevki tarif edemem,0
Bütünüyle eksiksiz ve harika,0
Alın aldırın,0
M-U-A-Z-Z-A-M,0
senaryo için yazacağım tek kelime ŞAHESER,0
Daha iyisi çıkana kadar en iyi zombi oyunu budur,0
Kesinlikle deneyin eksiği yok denir ya aynen öyle eksiği yok fazlası var destanlar yazılır bu oyuna keşke 2.oyunu çıksa,0
Düşünmeden alın derim,0
Parasının hakkını kesinlikle veriyor,0
Kalite kokan bir başyapıt,0
Harika bir oyun. Single modu biraz oynadıktan sonra sıksa da multisi ayrı bir güzel,0
Bunu bana aldıran aklıma teşekkür ediyorum,0
Süper,0
Müthiş bir oyun grafikleri olsun oynanış hikaye craft sistemi silahlar skiller kesinlikle alınması gereken bir oyun,0
Hala türünün en iyi örneğidir,0
Resmen parkur için yaratılmış bir şehir arkanızdan night hunter gelirken yaşadığınız o adrenalin patlaması ve tadı tuzunda olan hikayesi ile tavsiye edebileceğim bir oyun,0
Sanırım dünya üzerinde zombi oyunu açısından daha iyisi yok,0
Tek sıkıntısı çok oyunculu modu,0
Tek kelimeyle efsane.,0
Techland iyi bildiği işi yapmaya devam ediyor,0
Öncelikle oyun abartıldığı kadar korkutucu değil. Geceleri de gündüze göre abartılacak bir sıradanlık yok,0
Alın aldırın almaya çalışın ama mutlaka alın,0
Eksisini artısını her şeyini sallayın.... BU OYUNU ALIN ALDIRIN!,0
Ne kadar oynasanız da sıkmayan bir oyun,0
Oyun vardır satın alır bitirir bir kenara atarsınız oyun vardır bitirir yine de saatlerce oynarsınız,0
Paranızı sonuna kadar hakeden mükemmel bir açık dünya oyunu,0
Normalde zombi oyunlarını sevmem ama bu güzel,0
Grafikleri harika mekanikleri harika şehir gayet büyük 10/10,0
Yan görevleri ana görevler kadar iyi,0
Oyun güzel indirimdeyken alın,0
Açık Dünya gizem korku macera adrenalin kaçırmayın...,0
Sürükleyici ve 30-35 saate bitecek güzel bir oyun,0
Tek kelimeyle MUHTEŞEM!!,0
Grafikler güzel parkur zevkli,0
Hoş hikayeye sahip parasına değen bir oyun,0
tarihteki en iyi zombi oyunu,0
Çok iyi haşır huşur kafa patlatmalı bir oyun  :D ,0
Kendi türünde en iyi oyundur,0
Harita küçük ama her yere girilip çıkılıyor bude diğer hayatta kalma içerikli oyunlarda yok,0
Kesinlikle oynanılması gereken bir oyun,0
Oyunun içinde parkur ve zombi olunca bambaşka birşey oluyor,0
Arkadaşlarınızla oynarsanız daha zevkli,0
Bu oyunu kaçırmayın ^^,0
Harika oyun zorlandığın görevlerde arkadaşlarını çağırıp beraber yapabiliyorsun,0
Zsurvival oyunları arasında satın alıp keyifle bitirdiğim ilk oyun diyebilirim,0
Gene bağımlısı olduk tüh :D,0
Gerçekten sürükleyici ara görevlerle dahada zenginleştirilmiş oyun,0
Türünde ilk 3te,0
Korkudan oynayamıyorum ama güzel oyun :D,0
Harika bir açık dünya oyunu,0
oynamak isteyen eklesin,0
ALIN BUNU HAKEDİYOR!!!,0
oyun efsane arkadaşlar,0
istek listenize ekleyin indirime girince alın,0
Zaman geçirip arkadaşlarınızla eğlenmek istiyorsanız bu oyun tam size göre,0
hem aksiyon dolu hem macera hem de az da olsa romantizm ve yoğunlukla dram ile yapılmış,0
Ek paketler ve dlcler ile harika bir oyun,0
En iyi gelmiş geçmiş hortlak oyunu,0
Parasının son damlasına kadar hak eden bir oyun,0
Altyazı olsa tadından yenmezdi,0
Ey ubisoft böyle güzel bir oyun yaptığın için teşekkür ediyorum,0
Oyun şahane,0
Tek eksiği Türkçe desteği olmaması,0
Manzaraları efsane ya,0
İlk başta almakta kararsızdım fakat şimdi iyiki almışım diyorum,0
Yapılacak her türlü aktivite var yan görevler sıkıcı değil,0
Bu oyunda hiç mi rahat manzara izleyemeyeceğim lan ben ?,0
Far Cry serisi hep güzeldi 3 çok iyiydi 4 de iyiydi 5 baya iyi olmuş.,0
Efsane oyun tabi güzel bilgisayarlar için,0
Guzel keske altyazi olsaydi,0
Görüntü kalitesi efsane oynanış güzel ama bir süre sonra monotonlaşıyor,0
Yapay zeka çok kötü geliştirilmesi gerekmekte,0
İşte budur,0
Keşke Türkçe olsaydı,0
Beğendim güzel oyun.,0
Oyunun başındayım gayet güzel grafikler var hikayede etkileyici coop daha denemedim ama gerçekten iyi duruyor,0
En iyi farcry,0
Oyunu uzun zamandır bekliyordum beklediğime değdi,0
Oyun gayet güzel tek eksik türkçe dil yok,0
Muhteşem,0
Tek kelime ile mükemmel uzun zamandır aradığım oyunu buldum kesinlikle önerir ve tavsiye ederim,0
Ciddi anlamda sarıyor oynaması aşırı zevkli,0
süper,0
Ubisoft adamsınız lan adam,0
Mükkemel anlatmaya gerek yok görüyorsunuz anlatmaya gerek yok :D ,0
Güzel oyun co-op oynarım diyen eklesin birlikte oynayalım,0
Oyun gerçekten çok eğlenceli arkadaşlar,0
Oyun gayet başarılı ve güzel fakat silah modellemeleri hoşuma gitmedi,0
Parasını hak eden bir oyun,0
GÜZEL,0
Adamlar oyunu yapmış ister tek girin ister arkadaşınızla her türlü güzel bir oyun akıcı bir senaryoya sahip,0
Muazzam bir oyun grafikleri sarkılararı hikayeleri mukemmel paraya deger,0
Oyun güzel sonları yetersiz,0
ne denebilir ki 5 yıldız,0
Efso oyun olmuş helal ubisoft,0
Mükemmel ötesi yine yaptı yapacağını ubisoft,0
Oyun gayet iyi tek kötü yanı karakterimizin isimsiz vev oyuncu tarafından yapılmış bir rpg karakteri olması,0
EFSANE...,0
Güzel oyun tavsiye ederim,0
Finali hiç hoş olmamış beğenmedim,0
Oyunu çok beğendim gerçekten güzel bir deneyim oldu benim için,0
Efsane ötesi oyun,0
Hoş,0
2000 saat oynadığıma göre oyunu öneriyorum tabiki :D,0
Benim en hoş bulduğum oyun :)),0
Türk gurur kaynağımız,0
Hayatımın oyunudur.,0
Yıllarca korsan oynadık helal et Armağan reis,0
Oyunda geçirdiğim 500 saati fazlasıyla hakeden bir oyun,0
Böyle bir oyunumuz olduğu için gurur duyuyorum,0
Eskiden oynadığım bir oyun. Kendi krallığını kurabiliyorsun evleniyorsun ve daha neler neler... Kesinlikle tavsiye ediyorum,0
Yeni oyunu dört gözle bekliyorum :),0
Güzel mi güzel oyun <3,0
Tüm zamanların en güzel oyunu,0
Sıfır başlayıp ordunuzu toplayın ve savaş alanında zafere koşun,0
Türkiye'nin onuru ve gururu,0
Türklerin yaptığı ve geliştirdiği gelmiş geçmiş en iyi oyun,0
Efsane oyun bu fiyata almamak büyük ayıp,0
ilk 1000 saati güzeldi sonra boşluk hissetmeye başladım,0
Bunu okumana gerek yok oyunu al,0
Yukarıya çık ve sepetine ekle,0
Sırf saygı için bile alınabilir,0
Oyun çok güzel gerek savaş mekanikleri gerek mod çeşitliliği,0
Harika bir oyun :),0
Gelmiş geçmiş en iyi savaş simulatörü,0
arayıpda bulamıyacağınız nacizade oyunlardan biri...,0
Benim gözümde bunun gibi efsane oyun yoktur,0
Dünyanın en iyi ilk 100 oyunundan 30. sırayı almış oyun,0
Kalın cüzdan kokusu alıyorum,0
Saatlerce vakit geçirebileceğiniz eğlenebileceğiniz bir oyun,0
Az mı gaza gelmedik savaşlarda :), 0
Efsaneler efsanesi,0
oyun gerçekten parasını hak eden bir orta çağ oyunudur,0
Güzel bir oyun almanızı tavsiye ederim,0
DÜNYANIN EN İYİ TARİH OYUNU...,0
KESİNLİKLE TAVSİYE EDERİM...,0
Güzel oyun güzel akıcılık güzel içerik,0
Kesinlikle mükemmel,0
İndirimde bu oyunu kaçırmayın kaçırtmayın,0
4 yıl önce steamle tanışma sebebim :D ,0
Bu oyun bir insan olsa tartışmasız MUSTAFA KEMAL ATATÜRK olurdu öyle muhteşem bir oyun,0
oyun çok eğlenceli kesinlikle tavsiye ediyorum,0
Bağımlılık yapıcı bir oyun,0
Hayatımın oyunlarından bir tanesi,0
hiç sıkılmadan yüzlerce saat oynayabileceginiz farklı modlarla keyfini katlayacagınız efsane...,0
Alın oynayın oynatın pişman olmazsınız.,0
orta cağdamı yaşamak istiyosun buyur dostum kendini bırak,0
güzel oyun ama biraz mekanikleri zor iyi bir oyuncu olursanız oyunda terör estirebilirsiniz,0
Dehşet ötesi güzel bir şey ...,0
Asla Sıkılmicağım bir oyun :D,0
Çok az oynadım ama güzel bir oyun gibi sanki.,0
Kendi çapında oldukça güzel bir oyun ve çıktığı tarihe bakılırsa oyunun hala bu derece oynanması çok büyük bir başarı,0
Çıkışından itibaren büyük beğeniyle oynadığım bir oyun gerek dlc paketleriyle gerek modlarıyla çok eğlenceli eğer ortaçağ ve napolyon savaşları dönemine ilgiliyseniz gönül rahatlığıyla alabilirsiniz zaten yakın bir zamanda serinin yeni oyununun çıkış yapacağını tahmin ediyorum yeni oyun gelene kadar Warband ile zaman geçirebilirsiniz,0
Destek vermek için almalısınız. Hikayeyi size bırakması çok hoş birşey.,0
Açık dünya olması çok iyi bir özellik.,0
Efsane oyundur kendisi,0
Mükemmel ya,0
Oynamaktan sıkılmayacağınız harika bir oyun.,0
Dünyanın en güzel oyunu.,0
Bu oyunu oynamayın yaşayın,0
Kesinlikle en iyi Indie RPGlerden birisi.,0
Eşsiz bir başyapıt . 2010 yılında çıkarılan bir oyunun bu kadar güzel ve keyifli olması beklenemez .,0
Grafikleri sade olmasına rağmen oyun mekanizması çok iyi. Kendi karakterinizi yaratıp istediğiniz gibi oyunun keyfini çıkarabilirsiniz.,0
Bu oyunu oynamadan ölmeyin!,0
10 numara oyun. Bu oyunu türklerin yapmış olması gurur verici gerçekten... Bannerlord u bekliyoruz...,0
Oyuna ilk başta alışmak zor gelebilir ama kavramaya başladığınızda müthiş zevk alacaksınız kesinlikle tavsiye ediyorum. ,0
Çok güzel bir strateji oyunudur tavsiye ederim!,0
Eski olmasına rağmen ciddi ciddi eğlendirebilen nadir oyunlardan.,0
Oynamaya ve verdiğiniz paraya kesinlikle değer,0
Bu oyun... bu oyun varya bu oyun... Bir oyunun herşeyi mi güzel olur be arkadaş ya. Yani Steam'ın bana bu oyunu tavsiye ediyor musunuz sorusunu sorması bile saçma.,0
Helal olsun çok güzel oyun.,0
Hilesiz oyun oynamayı seviyorsanız single player modu günlerinizi alıcaktır köle olarak başlayıp krallığa kadar giden hikayede baş rol sizin indirimdeyken kaçırmayın multiplayer modu iyi değil,0
Kesinlikle oynamalısınız,0
Deli fişek bir oyun,0
Rahatlatıcı Chill bir oyun. Tavsiye ederim,0
bir oyun bu kadar mı tatlı olabilir,0
24 lirayı her bir kuruşuna kadar hakediyor çok fazla bir bilgiyede gerek yok wiki'ye girip yarım saat araştırma yapsanız yada oyunda 1 yıl geçirseniz herşeyi kavrarsınız.,0
tarla süreceğiz diye aldım yine ful karı kız peşinde koştum,0
Türkçe Dil İstiyoruz onun dışında oyun efsane,0
Özellikle söylüyorum 8-bit sevenler için çok iyi oyun çok güzel hiç bir sorunu yok.,0
Grafiklere kanmayın. Grafiklere bakılmaz bir oyun seni eğlendiriyorsa tamamdır. O oyun alınır.,0
Oyunun Türkçe yaması mevcuttur.Türkçe yama için ekleyebilirsiniz.,0
Dinlendirici güzel bir oyun,0
Anlatılmaz yaşanır oynayın,0
Sonsuz içerik ve eğlence vaad ediyor,0
inşallah multiplayer da gelir,0
Aşırı bağımlılık yaptı :),0
İnsanı kendine çeken bir oyun,0
Stardew Valley tek kelime ile şahane bir oyun.,0
Herkesin kesinlikle oynaması gereken bir oyun,0
Oyunun grafikleri atmosferi mekanikleri çok başarılı,0
Çok rahatlatıcı bir oyun,0
Dünyanın en iyi oyunu,0
Eğlenceli zaman geçirmek için iyi bir yöntem,0
Tek kelimeyle harika,0
Bir oyunu beni ne kadar süre kendine bağlayabilirse o kadar bağladı,0
Üstünde oldukça fazla emek var,0
Zamanınızı çok güzel harcayabileceğiniz bir oyun,0
Oynarken huzura kavuşabileceğiniz mükemmel bir oyun,0
Aldığınıza pişman olmayacaksınız,0
Tek kişinin yaptığı mükemmel bir oyun,0
Aradığım huzuru oyunda buldum,0
Bu kadar güzel sevimli ve bağımlılık yapıcı bir başka oyun bulabilmek zor,0
Oyun cok zevkli ve güzel birde türkçe olsa tadından yennmez valla :),0
Oyunu 100 saat oynamış birinin tecrübesine dayanarak eleştiriyorum oyun bir yerden sonra sıkıyor çünkü sabahları hep aynı şeyi yapıyorsunuz ,0
Gerçekten eşsiz bir oyun,0
